start,end,duration_minutes,cluster,n_points,avg_anomaly_score,top_variable_1,top_variable_1_zscore,top_variable_2,top_variable_2_zscore,top_variable_3,top_variable_3_zscore
2019-11-25 15:40:00,2019-11-25 16:30:00,50.0,2,4,-0.5928453817316264,Cyclone_cone_draft,3.5426542616600876,Cyclone_Inlet_Draft,2.1263957850065602,Cyclone_Outlet_Gas_draft,1.7977613359820106
2018-07-21 10:00:00,2018-07-21 10:50:00,50.0,2,5,-0.5988516670147297,Cyclone_Inlet_Gas_Temp,4.460839736722037,Cyclone_Gas_Outlet_Temp,2.271760830173986,Cyclone_Material_Temp,1.4467756647629242
2017-06-05 13:35:00,2017-06-05 14:25:00,50.0,2,5,-0.6226109835882443,Cyclone_Inlet_Gas_Temp,4.160591786176551,Cyclone_Gas_Outlet_Temp,2.7801365982886983,Cyclone_Material_Temp,2.004728203372898
2018-02-11 16:35:00,2018-02-11 17:25:00,50.0,0,11,-0.6838101677844353,Cyclone_Inlet_Draft,4.138520530654147,Cyclone_Outlet_Gas_draft,4.055132970918134,Cyclone_cone_draft,3.5413576124643673
2017-11-27 13:15:00,2017-11-27 14:05:00,50.0,2,3,-0.597599907305946,Cyclone_Inlet_Gas_Temp,2.892042172432887,Cyclone_Outlet_Gas_draft,1.919791537355298,Cyclone_cone_draft,1.7974862725577525
2018-02-27 16:20:00,2018-02-27 17:10:00,50.0,2,4,-0.6064556142623339,Cyclone_Inlet_Gas_Temp,3.020381787510441,Cyclone_Material_Temp,2.0221666763274166,Cyclone_Gas_Outlet_Temp,1.8606405696434947
2019-09-15 09:05:00,2019-09-15 09:55:00,50.0,1,11,-0.6511568670634365,Cyclone_cone_draft,4.920257659262116,Cyclone_Outlet_Gas_draft,4.567627403698727,Cyclone_Inlet_Draft,4.278488763104625
2019-07-08 16:25:00,2019-07-08 17:15:00,50.0,2,3,-0.6521896662874167,Cyclone_cone_draft,2.8733929608276996,Cyclone_Inlet_Draft,2.6857412571599895,Cyclone_Outlet_Gas_draft,2.413027840705228
2019-07-02 01:10:00,2019-07-02 02:00:00,50.0,2,4,-0.5972785048011344,Cyclone_Material_Temp,18.209949645498796,Cyclone_cone_draft,1.4372692096939683,Cyclone_Inlet_Gas_Temp,0.7847007008092507
2017-11-27 06:50:00,2017-11-27 07:40:00,50.0,2,7,-0.5997640573602833,Cyclone_Inlet_Draft,2.7142256407744547,Cyclone_Outlet_Gas_draft,2.689820121881065,Cyclone_cone_draft,2.687649869751938
2017-03-02 02:50:00,2017-03-02 03:40:00,50.0,0,8,-0.6781173502369812,Cyclone_Inlet_Gas_Temp,3.4991702338033965,Cyclone_Inlet_Draft,3.404944346573936,Cyclone_Outlet_Gas_draft,3.3760073025869963
2020-03-22 16:10:00,2020-03-22 17:00:00,50.0,2,4,-0.6148115837544673,Cyclone_Inlet_Draft,2.5341087066724004,Cyclone_cone_draft,2.2345048027799113,Cyclone_Outlet_Gas_draft,2.039936311146704
2018-11-13 15:00:00,2018-11-13 15:50:00,50.0,0,3,-0.6318354808038857,Cyclone_Inlet_Draft,2.7915906261900254,Cyclone_Outlet_Gas_draft,2.7633337512828318,Cyclone_cone_draft,2.3676882867314877
2019-02-11 22:05:00,2019-02-11 22:55:00,50.0,2,6,-0.6180109853433751,Cyclone_Inlet_Gas_Temp,2.74681310446492,Cyclone_Inlet_Draft,2.214025227498662,Cyclone_Gas_Outlet_Temp,1.9207121550124138
2020-03-07 16:15:00,2020-03-07 17:05:00,50.0,2,8,-0.6013654898792449,Cyclone_Material_Temp,10.925310022890312,Cyclone_Outlet_Gas_draft,2.1966623767335487,Cyclone_Inlet_Draft,2.0431647551104013
2019-03-23 03:00:00,2019-03-23 03:50:00,50.0,0,6,-0.6295218983874465,Cyclone_Inlet_Draft,2.806169687108752,Cyclone_Outlet_Gas_draft,2.575753446114278,Cyclone_Gas_Outlet_Temp,2.030651268411267
2019-05-20 02:50:00,2019-05-20 03:40:00,50.0,2,6,-0.6029369789588638,Cyclone_Inlet_Gas_Temp,2.8308895426060707,Cyclone_Gas_Outlet_Temp,2.160595543769604,Cyclone_Material_Temp,1.9025534885971647
2019-05-17 17:30:00,2019-05-17 18:20:00,50.0,2,4,-0.6055962748632626,Cyclone_Inlet_Gas_Temp,2.576300424385524,Cyclone_Inlet_Draft,2.126193563216194,Cyclone_Gas_Outlet_Temp,1.7972153665482842
2019-05-15 11:10:00,2019-05-15 12:00:00,50.0,2,4,-0.604244303185996,Cyclone_cone_draft,2.6547809844797694,Cyclone_Inlet_Draft,1.8304441948053518,Cyclone_Gas_Outlet_Temp,1.706789450950108
2020-03-08 01:55:00,2020-03-08 02:45:00,50.0,2,6,-0.5980415014576712,Cyclone_Material_Temp,6.35424415938116,Cyclone_Outlet_Gas_draft,2.2239663465440667,Cyclone_Inlet_Draft,2.189286850465981
